shop_name,address,phone_number,email,category,product,district,street_no,street_name,city,ward,ocr_result,file_name
Com Chay Suong Nguyet,"123 Nguyễn Văn Linh, Quận 7, TP.HCM",,,Nhà hàng chay,Cơm chay và các món chay khác,Quận 7,123,Nguyễn Văn Linh,TP.HCM,,CƠM CHAY,crop_images/GPAH9370.JPG.jpg_1730855856.9259362.jpg
Cơm Chay Hương Xuân,"123 đường ABC, Quận XYZ, Thành phố HCM",,,Nhà hàng chay,Cơm chay và các món chay khác,Quận XYZ,123,đường ABC,Thành phố HCM,,Cơm Chay,crop_images/GPAH9371.JPG.jpg_1730856039.1704645.jpg
Nhà Văn Hóa Phường 9,"Lửa 11, Phường 9",0903 300 402,,Văn Hóa và Giải Trí,"Đơn Ca Tài Tử, Cổ Nhạc, Khuê Võ, Salsa, Bacbata, Kizomra, Yoga, Mỹ Thuật, Thanh Nhạc, Tấn Nhạc",,,,,,"NHÀ VĂN HÓA PHƯỜNG 9
Chủ Lĩnh BỘ HOA SEN (Lửa 11)
ĐƠN CA TÀI TỬ - CỔ NHẠC
KHUÊ VÕ THỂ THAO
SALSA - BACBATA - KIZOMRA
YOGA
MÙA HIỆN ĐẠI
THANH NHẠC - TẤN NHẠC
Phòng Điện 0903 300 402
Time Hotels 0908 608 815",crop_images/GPAH9371.JPG.jpg_1730856039.1797385.jpg
Điểm Sinh Hoạt Văn Hóa Phường 9,"Phường 9, Thành phố, Tỉnh",,,Dịch vụ sinh hoạt văn hóa và giáo dục,"Các hoạt động văn hóa, giáo dục và giải trí",,,,,,ĐIỂM SINH HOẠT VĂN HÓA PHƯỜNG 9,crop_images/GPAH9371.JPG.jpg_1730856039.208031.jpg
Cơm Chay Nguyễn Văn Bình,"Số 10 Nguyễn Văn Bình, Quận 1, TP.Hồ Chí Minh",,,Nhà hàng cung cấp món ăn chay,"Cơm chay trọn bộ, lẩu chay, mì xào chay, bánh mì chay, nước ép trái cây tự nhiên",Quận 1,10,Nguyễn Văn Bình,TP.Hồ Chí Minh,,Cơm Chay,crop_images/GPAH9371.JPG.jpg_1730856039.2536285.jpg
Nhà Văn Hóa Phường 9,"Chu Lập Bí, Phường 9, Quận Lửa 11",Phạm Điện 0903 300 402,,"Nhà văn hóa, dịch vụ văn hóa nghệ thuật, thể thao và giáo dục","Đơn ca tài tử - cổ nhạc, Khuê vũ thể thao (Salsa, Bacbata, Kizomba, Yoga), Múa hiện đại, Thanh nhạc - Tấn nhạc",Lửa 11,,,,,"NHÀ VĂN HÓA PHƯỜNG 9
Chu Lập Bị HOA SEN (Lửa 11)
ĐƠN CA TÀI TỬ - CỔ NHẠC
KHUÊ VÕ THỂ THAO
SALSA - BACBATA - KIZOMRA
YOGA
MÙA HIỆN ĐẠI
THANH NHẠC - TẤN NHẠC
Phạm Điện 0903 300 402
Time Hotels 0908 608 815",crop_images/GPAH9371.JPG.jpg_1730856039.2617545.jpg
Cơm Chay An Nhơn,"Số 10, Phố Hàng Bồ",,,Nhà hàng chay,Cơm chay,Quận Hoàn Kiếm,,,Hà Nội,,Cơm Chay,crop_images/GPAH9371.JPG.jpg_1730856039.2692752.jpg
Điểm Sinh Hoạt Văn Hóa Phường 9,"393 - 395 Hùng Phú, Phường 9, Quận 8",,,Văn hóa và sinh hoạt cộng đồng,,Quận 8,,,,Phường 9,"ĐIỂM SINH HOẠT VĂN HÓA PHƯỜNG 9
ĐC: 393 - 395 HÙNG PHÚ - PHƯỜNG 9 - QUẬN 8",crop_images/GPAH9372.JPG.jpg_1730856331.406982.jpg
Quán Chay,"123 Đường Nguyễn Văn Linh, Quận 1, TP.HCM",,,Nhà hàng chay,"Thực đơn chay đa dạng: mì xào chay, cơm chiên chay, bún bò chay, phở chay...",Quận 1,123,Đường Nguyễn Văn Linh,TP.HCM,,Quán Chay,crop_images/GPAH9372.JPG.jpg_1730856331.424907.jpg
Điểm Sinh Hoạt Văn Hóa Phường 9,"393 - 395 Hùng Phủ, Phường 9, Quận 8",,,Dịch vụ sinh hoạt văn hóa,"Cung cấp các hoạt động văn hóa, giáo dục và giải trí cho cư dân trong khu vực, bao gồm các sự kiện, chương trình văn hóa, hội thảo, hội chợ, trưng bày nghệ thuật và các hoạt động văn hóa khác.",Quận 8,,,,,"ĐIỂM SINH HOẠT VĂN HÓA PHƯỜNG 9
ĐC: 393 - 395 HÙNG PHỦ - PHƯỜNG 9 - QUẬN 8",crop_images/GPAH9372.JPG.jpg_1730856331.4522557.jpg
Nhà Văn Hóa Phường 9,"Chợ Lớn, 64 Hoa Sen (Lãnh 1), Phường 9, Quận...","{'Phan Đình': '0903 380 422', 'Thiền Môn': '0985 008 816'}",,Nghệ thuật và thể dục,"{'1': 'Đơn ca tài từ - Cổ nhạc', '2': 'Khiêu vũ thể thao (Salsa, Bachata, Kizomara)', '3': 'Yoga', '4': 'Múa hiện đại', '5': 'Thanh nhạc - Tần nhạc'}",,,,,,"NHÀ VĂN HÓA PHƯỜNG 9
Chợ Lớn 64 Hoa Sen (Lãnh 1)
ĐƠN CA TÀI TỪ - CỔ NHẠC
KHIỂU VŨ THỂ THAO
SALSA - BACHATA - KIZOMARA
YOGA
MUA HIỆN ĐẠI
THANH NHẠC - TẦN NHẠC
Phan Đình 0903 380 422
Thiền Môn 0985 008 816",crop_images/GPAH9372.JPG.jpg_1730856331.4666562.jpg
Điểm sinh hoạt văn hóa phường 9,"393 - 395 Hùng Phú, Phường 9, Quận 8",,,Dịch vụ sinh hoạt văn hóa,"Cung cấp các hoạt động về văn hóa, giáo dục, giải trí, và các sự kiện văn hóa khác cho cộng đồng tại Phường 9, Quận 8",Quận 8,393 - 395,Hùng Phú,Hồ Chí Minh,Phường 9,"Điểm sinh hoạt văn hóa phường 9
ĐC: 393 - 395 Hùng Phú - Phường 9 - Quận 8",crop_images/GPAH9372.JPG.jpg_1730856331.4738462.jpg
BÒ SỐT HÀU - CHÍ NHÁNH 7,"391 Hưng Phú, Phường 9, Quận 8, Thành phố Hồ Chí Minh",09 3339 7557 - 091 608 1737,,"Đồ ăn nhanh, món ăn tự chọn",Bò Sốt Hàu,Quận 8,391,Hưng Phú,Thành phố Hồ Chí Minh,Phường 9,"Bò Sốt Hàu
CHÍ NHÁNH 7
391 HƯNG PHÚ, P.9 - Q.8
DT: 09 3339 7557 - 091 608 1737",crop_images/GPAH9373.JPG.jpg_1730856553.1778908.jpg
Bò Sốt Hàu - Chi Nhánh 7,"391 Hưng Phú, Phường 9, Quận 8, Thành phố Hồ Chí Minh",09 3339 7557 - 091 608 1737,,"Các món ăn chế biến từ thịt bò với sốt hàu, đồ ăn nhẹ",Bò sốt hàu,Quận 8,391,Hưng Phú,Thành phố Hồ Chí Minh,Phường 9,"Bò Sốt Hàu
CHÍ NHÁNH 7
391 HƯNG PHÚ, P.9 - Q.8
DT: 09 3339 7557 - 091 608 1737",crop_images/GPAH9373.JPG.jpg_1730856553.2146788.jpg
Bò Sốt Hàu - Chi Nhánh 7,"391 Hưng Phú, Phường 9, Quận 8, Thành phố Hồ Chí Minh",09 3339 7557 - 091 608 1737,,Nhà hàng,Bò sốt hàu,Quận 8,391,Hưng Phú,Thành phố Hồ Chí Minh,Phường 9,"Bò Sốt Hàu
CHI NHÁNH 7
391 HƯNG PHÚ, P.9 - Q.8
DT: 09 3339 7557 - 091 608 1737",crop_images/GPAH9373.JPG.jpg_1730856553.2466564.jpg
Bò Sốt Hầu - Chi nhánh 7,"391 Hưng Phú, Phường 9, Quận 8",09 3339 7557 - 091 608 1737,,,Bò Sốt Hầu,Quận 8,391,Hưng Phú,,Phường 9,"Bò Sốt Hầu
Chi nhánh 7
391-HƯNG PHÚ, P.9 - Q.8
DT: 09 3339 7557 - 091 608 1737",crop_images/GPAH9374.JPG.jpg_1730856657.090124.jpg
Apollo English,,,,Trung tâm tiếng Anh,Dịch vụ học tiếng Anh,,,,,,"APOLLO ENGLISH
COME BETTER",crop_images/GPAH9375.JPG.jpg_1730856717.0127664.jpg
Apollo English,,,,Dịch vụ giáo dục,Tiếng Anh,,,,,,"APOLLO ENGLISH
COME BETTER",crop_images/GPAH9376.JPG.jpg_1730856755.4100182.jpg
Giấc Mơ Sữa Việt,"Đường XYZ, quận ABC, thành phố XYZ",,,Cửa hàng chuyên về sản phẩm sữa,"Sữa tươi, sữa đặc, kem, sữa chua, sữa hạt, sữa bơ và các sản phẩm liên quan",ABC,,,XYZ,,Giấc mơ sữa Việt,crop_images/GPAH9378.JPG.jpg_1730857059.9399183.jpg
Hana Beauty,,,,Mỹ phẩm,"Nước biển, chăm sóc da",,,,,,"Hana Beauty
Nước biển - Mỹ Phẩm
Chăm Sóc Ba",crop_images/GPAH9378.JPG.jpg_1730857059.9749846.jpg
Giấc Mơ Sữa Việt,"Đường 123, Quận ABC, Thành phố XYZ",,,Cửa hàng thực phẩm và đồ uống,"Sữa tươi, sữa đặc sấy, sữa chua tự làm, trà sữa, cà phê sữa đá, đồ uống có sữa khác",ABC,123,Đường 123,XYZ,,Giấc mơ sữa Việt,crop_images/GPAH9378.JPG.jpg_1730857060.0174558.jpg
Hana Beauty Spa,"8 379 Hưng Phú, Phường 9, Quận 8, TP.Hồ Chí Minh",0822 896 789,,Salon làm đẹp và spa,"Nails, Gội đầu, Chăm sóc da, Makeup, Mi",Quận 8,8,Hưng Phú,TP.Hồ Chí Minh,Phường 9,"Hana Beauty Spa
Nails - Gội đầu - Chăm sóc da - MAKEUP - MI
8 379 Hưng Phú - P.9 - Q.8 - TP.HCM
0822 896 789",crop_images/GPAH9379.JPG.jpg_1730857282.3907473.jpg
Hana Beauty Spa,"8/379 Hưng Phú, Phường 9, Quận 8, TP.Hồ Chí Minh",0822 896 789,,,"Nails, Gội đầu, Chăm sóc da, Makeup, Mi",Quận 8,8,Hưng Phú,TP.Hồ Chí Minh,Phường 9,"Hana Beauty Spa
Nails - Gội đầu - Chăm sóc da - MAKEUP - MI
8 379 Hưng Phú - P.9 - Q.8 - TP.HCM
0822 896 789",crop_images/GPAH9379.JPG.jpg_1730857282.4731574.jpg
Hana Beauty Spa,"8/379 Hưng Phú, Phường 9, Quận 8, Thành phố Hồ Chí Minh",0822 896 789,,"Salon làm nails, salon gội đầu, dịch vụ chăm sóc da, trang điểm và dịch vụ mi","Nails, Gội đầu, Chăm sóc da, MAKEUP, MI",Quận 8,8,Hưng Phú,Thành phố Hồ Chí Minh,Phường 9,"Hana Beauty Spa
Nails - Gội đầu - Chăm sóc da - MAKEUP - MI
8 379 Hưng Phú - P.9 - Q.8 - TP.HCM
0822 896 789",crop_images/GPAH9379.JPG.jpg_1730857282.501362.jpg
VẬT LIỆU VÁY ĐỒNG,THÀNH HÙNG II,,,"Vải váy, vật liệu may váy, phụ kiện trang trí váy","Vải váy, vật liệu may váy, phụ kiện trang trí váy",,,,,,"CỬA HÀNG VẬT LIỆU VÁY ĐỒNG
THÀNH HÙNG II",crop_images/GPAH9380.JPG.jpg_1730857523.0510545.jpg
CỬA HÀNG VẬT LIỆU VÁY ĐỒNG THÀNH HÙNG II,,,,,"Vật liệu may váy, váy đồng",,,,,,"CỬA HÀNG VẬT LIỆU VÁY ĐỒNG
THÀNH HÙNG II",crop_images/GPAH9380.JPG.jpg_1730857523.1153245.jpg
Nhóm Trẻ,"375 Hùng Phú, Phường 9, Quận 8, Tp. Hồ Chí Minh",0948663674,,Sản phẩm và dịch vụ cho trẻ em,"Quần áo, đồ chơi, sách vở, đồ dùng học tập và các sản phẩm khác dành cho trẻ em",Quận 8,375,Hùng Phú,Tp. Hồ Chí Minh,Phường 9,"ỦY BAN NHÂN DÂN P.9 - Q.8
NHÓM TRẺ
375
QĐTL: 176/QĐ-UBND CẤP NGÀY 8/7/2018
DT: 0948663674
375 HÙNG PHÚ PHƯỜNG 9 - QUẬN 8",crop_images/GPAH9381.JPG.jpg_1730857739.1254418.jpg
Nhóm Trẻ,"375 Hùng Phú, Phường 9, Quận 8, TP.HCM",0948663674,,Cửa hàng dành cho trẻ em,"Quần áo, đồ chơi, sách vở, đồ dùng học tập và các sản phẩm khác phục vụ cho nhu cầu của trẻ em",Quận 8,375,Hùng Phú,TP.HCM,Phường 9,"ỦY BAN NHÂN DÂN P.9 - Q.8
NHÓM TRẺ
375
QĐTL: 176/QĐ-UBND CẤP NGÀY 8/7/2018
DT: 0948663674
375 HÙNG PHÚ PHƯỜNG 9 - QUẬN 8",crop_images/GPAH9381.JPG.jpg_1730857739.1722152.jpg
Nau,,,,Dịch vụ sửa chữa xe ga và xe số chuyên nghiệp,Sửa chữa xe ga và xe số,,,,,,"Nau
CHUYÊN SỬA XE GA - XE SỐ",crop_images/GPAH9383.JPG.jpg_1730858015.7233531.jpg
NÂU,,,,Dịch vụ sửa chữa xe ga và xe số,,,,,,,"NÂU
CHUYÊN SỬA XE GA - XE SỐ",crop_images/GPAH9383.JPG.jpg_1730858015.7459176.jpg
NÂU,,,,Dịch vụ sửa chữa xe ga và xe số,Sửa chữa xe ga và xe số,,,,,,"NÂU
CHUYÊN SỬA XE GA - XE SỐ",crop_images/GPAH9384.JPG.jpg_1730858229.928578.jpg
NÂU,,,,Dịch vụ sửa chữa xe,Sửa chữa xe ga và xe số,,,,,,"NÂU
CHUYÊN SỬA XE GA - XE SỐ",crop_images/GPAH9384.JPG.jpg_1730858229.962211.jpg
NAU,,,,Dịch vụ sửa chữa xe ga và xe số,Sửa chữa xe ga và xe số,,,,,,"NAU
CHUYÊN SỬA XE GA - XE SỐ",crop_images/GPAH9384.JPG.jpg_1730858229.9884007.jpg
BÁNH MÌ HÀ NỘI HƯNG THỦY,"363 Hưng Phú, Phường 9, Quận 8",0947.917.747 - 0972.265.440,,"Bánh Mì, Thịt Người, Bánh Quy (Bánh Pia), Deli Shop","Giò Cha, Thịt Người, Chả Bò, Bánh Mì Sốc Trắng, Bánh Pia",Quận 8,363,Hưng Phú,,Phường 9,"BÁNH MÌ HÀ NỘI
HƯNG THỦY
GIÒ CHA
THỊT NGƯỜI
CHÀ BÓNG
BÁNH MÌ SỐC TRẮNG
ĐẠI LÝ
BÁNH PIA
DC: 363 Hưng Phú, Phường 9, Quận 8
DT: 0947.917.747 - 0972.265.440",crop_images/GPAH9386.JPG.jpg_1730858545.857141.jpg
Bánh Mì Hà Nội Hưng Thủy,Hưng Thủy,,,Bánh mì theo phong cách Hà Nội,Bánh mì,,,,,,"BÁNH MÌ HÀ NỘI
HƯNG THỦY",crop_images/GPAH9386.JPG.jpg_1730858545.9587262.jpg
ĐẠI LÝ GẠO HỒNG DUYÊN,"359 Hưng Phú, Phường 9, Quận 8",3859.7096 - 0937.617.031 - 2237.4328 - 0914.197.637,,"Chuyên kinh doanh các loại gạo, chất lượng giáo bằng, tận nơi, uy tín","GẠO, TẤM, NẾP",Quận 8,359,Hưng Phú,,Phường 9,"ĐẠI LÝ GẠO HỒNG DUYÊN
CHUYÊN KINH DOANH CÁC LOẠI
GẠO - TẤM - NẾP
GIÁO BẰNG TÂN NƠI - UY TÍN CHẤT LƯỢNG
DC: 359 HƯNG PHÚ - P.9 - Q.8
DT: 3859.7096 - 0937.617.031 - 2237.4328 - 0914.197.637",crop_images/GPAH9387.JPG.jpg_1730858723.3231916.jpg
Bùa Xe,310 [đường không rõ],,,Dịch vụ ô tô,Dịch vụ thay nhớt sử dụng dầu nhớt Castrol,,,,,,"BÙA XE
310
THAY NHỚT
CASTROL",crop_images/GPAH9388.JPG.jpg_1730858924.1783237.jpg
Cửa Hàng Nhật Bách,"357 Hưng Phú, Phường 8",0907 542 857,,Cửa hàng đồ nhập khẩu,"Đồ gia dụng, thực phẩm, mỹ phẩm, đồ chơi, sách báo",Quận B,,,Thành phố Hồ Chí Minh,,"CỬA HÀNG
NHẬT BẠCH
357 HƯNG PHÚ, P.8,
Q.B. TP.HCM
ĐIỆN THOẠI: 0907 542 857",crop_images/GPAH9388.JPG.jpg_1730858924.190415.jpg
Bảo Xe,310,,,Dịch vụ ô tô,Dịch vụ thay nhớt sử dụng dầu nhớt Castrol,,,,,,"BẢO XE
310
THAY NHỚT
CASTROL",crop_images/GPAH9388.JPG.jpg_1730858924.2430115.jpg
Cửa hàng Nhật Bách,"357 Hùng Phú, Phường 8, Quận Bình Thạnh, Thành phố Hồ Chí Minh",0907 542 857,,Cửa hàng nhập khẩu,Hàng hóa Nhật Bản,Bình Thạnh,357,Hùng Phú,Hồ Chí Minh,8,"CỬA HÀNG NHẬT BẠCH
357 HÙNG PHÚ, P.8
Q.B. TP.HCM
ĐIỆN THOẠI: 0907 542 857",crop_images/GPAH9388.JPG.jpg_1730858924.2533643.jpg
Rửa Xe Chuyên Nghiệp Castrol,"353 Hưng Phú, Phường 9, Quận 8, TP. Hồ Chí Minh",,,Dịch vụ rửa xe chuyên nghiệp,Rửa xe 310,Quận 8,,Hưng Phú,TP. Hồ Chí Minh,Phường 9,"Castrol
RỬA XE CHUYÊN NGHIỆP
RỬA XE 310
Đc: 353 Hưng Phú, P.9, Quận 8",crop_images/GPAH9389.JPG.jpg_1730859143.5957265.jpg
Sửa Xe Bình Phước,"351 Hưng Phú, Phường 9, Quận 8, TP. Hồ Chí Minh",0902 436 096,,Dịch vụ ô tô và xe máy,"Bảo trì - bảo dưỡng, tân trang xe tay ga",Quận 8,351,Hưng Phú,TP. Hồ Chí Minh,Phường 9,"SỬA XE
BÌNH PHƯỚC
CHUYÊN BẢO TRÌ - BẢO DƯỠNG
TÂN TRANG CÁC LOẠI XE TAY GA
VÀ HONDA - YAMAHA - SUZUKI
DT: 0902 436 096
351 Hưng Phú, P.9, Q.8",crop_images/GPAH9389.JPG.jpg_1730859143.6261475.jpg
SỬA XE BÌNH PHƯỚC,"351 Hưng Phú, P.9, Q.8",0902 436 096,,Dịch vụ sửa chữa xe,"Dịch vụ bảo trì, bảo dưỡng xe; Dịch vụ tân trang xe tay ga Honda, Yamaha, Suzuki",Quận 8,351,Hưng Phú,,Phường 9,"SỬA XE
BÌNH PHƯỚC
CHUYÊN BẢO TRÌ - BẢO DƯỠNG
TÂN TRANG CÁC LOẠI XE TAY GA
VÀ HONDA - YAMAHA - SUZUKI
351 Hưng Phú, P.9, Q.8
DT: 0902 436 096",crop_images/GPAH9389.JPG.jpg_1730859143.6687815.jpg
Castrol,"353 Hưng Phú, Phường 9, Quận 8",,,Dịch vụ ô tô,Dịch vụ rửa xe 310,Quận 8,,,,Phường 9,"Castrol
RỬA XE CHUYÊN NGHIỆP
RỬA XE 310
Đc: 353 Hưng Phú, P.9, Quận 8",crop_images/GPAH9389.JPG.jpg_1730859143.6852188.jpg
Phòng Khám Nhi Đồng,,,,Phòng khám chuyên khoa nhi đồng,Dịch vụ chăm sóc sức khỏe cho trẻ em,,,,,,"PHÒNG KHÁM
NHI ĐỒNG",crop_images/GPAH9390.JPG.jpg_1730859337.15838.jpg
Salon Minh Đức,,,,Dịch vụ làm tóc tại salon,Hớt Tóc Model,,,,,,"Salon
Minh Đức
Hớt Tóc Model",crop_images/GPAH9390.JPG.jpg_1730859337.1652045.jpg
Minh Đức,Bình Dân,,,Hớt Tóc,Dịch vụ cắt tóc,,,,,,"Minh Đức
Hớt Tóc
Bình Dân",crop_images/GPAH9391.JPG.jpg_1730859529.5584066.jpg
Salon Minh 1,Hớt Tóc N,,,Salon làm tóc,Dịch vụ làm tóc và làm đẹp,,,,,,"Salon
Minh 1
Hớt Tóc N",crop_images/GPAH9391.JPG.jpg_1730859529.5823898.jpg
KINH ĐỨC,BÌNH DÂN,,,HỚT TÓC,,,,,,,"KINH ĐỨC
HỚT TÓC
BÌNH DÂN",crop_images/GPAH9391.JPG.jpg_1730859529.592014.jpg
Trường,Không có thông tin,,,Thực phẩm,"Thực phẩm an toàn, tươi ngon, tiện lợi",,,,,,"an toàn. tiện lợi. tươi ngon
TRƯỜNG
CỬA HÀNG THỰC PHẨM AN TOÀN",crop_images/GPAH9392.JPG.jpg_1730859653.3848999.jpg
COOP FOOD,Bình ổn thị trường,,,Thực phẩm và đồ uống,"Thực phẩm an toàn, tự hào hạnh",,,,,,"COOP FOOD
an toàn
TỰ HÀO HẠNH
CỬA HÀNG BÌNH ỔN THỊ TRƯỜNG",crop_images/GPAH9393.JPG.jpg_1730859752.9460206.jpg
Coop Food,Nam cửa hàng bình ổn thị trường,,,Thực phẩm và đồ uống,Thực phẩm và đồ uống,,,,,,"Coop Food
an toàn
Tự hào
Nam cửa hàng bình ổn thị trường",crop_images/GPAH9393.JPG.jpg_1730859753.1275506.jpg
BÌNH ỔN THỊ TRƯỜNG,,,,Hàng Việt Nam tự hào,"Sản phẩm thị trường hoàn toàn ổn định, hợp chuẩn chất lượng, là những sản phẩm của Việt Nam giới thiệu và phân phối",,,,,,TỰ HÀO HÀNG VIỆT NAM CỬA HÀNG BÌNH ỔN THỊ TRƯỜNG,crop_images/GPAH9394.JPG.jpg_1730859837.8022773.jpg
Coop Food,Bình ổn Thị trường,,,Thực phẩm và thực phẩm chế biến,Hàng Việt Nam,,,,,,"COOP FOOD
TỰ HÀO HÀNG VIỆT NAM CỬA HÀNG BÌNH ỔN THỊ TRƯỜNG",crop_images/GPAH9394.JPG.jpg_1730859837.846109.jpg
BÌNH ỔN THỊ TRƯỜNG,Tự hào hàng Việt Nam,,,"Hàng tiêu dùng, quà lưu niệm, đồ handmade",Hàng Việt Nam chất lượng cao,,,,,,TỰ HÀO HÀNG VIỆT NAM CỬA HÀNG BÌNH ỔN THỊ TRƯỜNG,crop_images/GPAH9394.JPG.jpg_1730859837.9329107.jpg
Tiên Việc Công Lộng,"Thành phố Hồ Chí Minh, Việt Nam",,,,,,,,Thành phố Hồ Chí Minh,,"TIÊN VIỆC CÔNG LỘNG
HÀ NỘI PHỐ HỒ CHÍ MINH
15/7/1968 - 10/10/1968
Thành phố Hồ Chí Minh City",crop_images/GPAH9429.JPG.jpg_1730862240.8976514.jpg
Viện Y Tế Công Cộng,Thành phố Hồ Chí Minh,,,Dịch vụ y tế công cộng,"Dịch vụ chăm sóc sức khỏe, khám bệnh, cấp cứu, tiêm chủng và các dịch vụ y tế khác do viện cung cấp.",,,,,,"BỘ Y TẾ
VIỆN Y TẾ CÔNG CỘNG
THÀNH PHỐ HỒ CHÍ MINH",crop_images/GPAH9441.JPG.jpg_1730863097.3856974.jpg
Viện Y Tế Công Nghệ - Phòng Phát Triển,Bộ Y Tế,,,Dịch vụ y tế và công nghệ liên quan,Dịch vụ chăm sóc sức khỏe và phát triển công nghệ trong lĩnh vực y tế,,,,,,"BỘ Y TẾ
VIỆN Y TẾ CÔNG NGHỆ
PHÒNG PHÁT TRIỂN",crop_images/GPAH9441.JPG.jpg_1730863097.399122.jpg
Cửa hàng Nhân Hạnh,"157A Hưng Phú, P.8, Q.8, TP.Hồ Chí Minh",0973.533.327,,"Điện - nước gia dụng, đồ sắt, ống nước",,Quận 8,157A,Hưng Phú,TP.Hồ Chí Minh,Phường 8,"Cửa hàng Nhân Hạnh
Chuyên kinh doanh: điện - nước gia dụng
đồ sắt - ống nước các loại
ĐC: 157A Hưng Phú, P.8, Q.8, TP.HCM - ĐT: 0973.533.327",crop_images/GPAH9445.JPG.jpg_1730863888.6007402.jpg
Cửa hàng Nhân Hạnh,"157A Hưng Phú, Phường 8, Quận 8, Thành phố Hồ Chí Minh",0907.538.327,,bán lẻ,"Điện - nước gia dụng, đồ sắt, ống nước các loại",Quận 8,157A,Hưng Phú,Thành phố Hồ Chí Minh,Phường 8,"CỬA HÀNG
NHÂN HẠNH
Chuyên kinh doanh: điện - nước gia dụng
đồ sắt - ống nước các loại
ĐC: 157A Hưng Phú, P.8, Q.8, TP.HCM - ĐT: 0907.538.327",crop_images/GPAH9445.JPG.jpg_1730863888.6208806.jpg
Điện Quan,,,,Cửa hàng điện tử,"Thiết bị điện tử, phụ kiện",,,,,,"Điện quan
Ở đâu có điện, ở đó có điện quan",crop_images/GPAH9445.JPG.jpg_1730863888.6346283.jpg
Điện Quan,,,,Cửa hàng thiết bị điện,"Thiết bị điện, linh kiện điện, đèn LED và các sản phẩm điện khác",,,,,,"Điện quan
Ở đâu có điện, ở đó có điện quan",crop_images/GPAH9445.JPG.jpg_1730863888.6846342.jpg
Tìm Về Bên Trong Bạn,,,,"Sách, đồ dùng cá nhân, sản phẩm thể chất và tinh thần","Sách tự luyện, không gian lưu trữ tự nhiên, sản phẩm tăng cường sức khỏe và sự phát triển cá nhân",,,,,,Tìm Về Bên Trong Bạn,crop_images/GPAH9447.JPG.jpg_1730864343.1229165.jpg
Phố 768,"Đường số, Quận 8",,,,,Quận 8,,,,,"768
Phố - ĐS - Q.8",crop_images/GPAH9447.JPG.jpg_1730864343.1628203.jpg
SỬA XE CHUYÊN NGHIỆP,,0933.40.41.47 - 0989.969.919,,,Sửa chữa xe ga,,,,,,"SỬA XE CHUYÊN NGHIỆP
CHUYÊN XE GA]
0933.40.41.47 - 0989.969.919",crop_images/GPAH9448.JPG.jpg_1730864459.6187105.jpg
Cafe 168,Im Về Bên Trong Bạn,,,Quán cafe,Đồ uống và thức ăn,,,,,,"Cafe 168
Im Về Bên Trong Bạn",crop_images/GPAH9448.JPG.jpg_1730864459.6717498.jpg
Light Yoga,,,,Yoga Studio,"Yoga classes, yoga mats, yoga blocks, yoga straps, yoga clothing, yoga books, workshops",,,,,,Light Yoga,crop_images/GPAH9448.JPG.jpg_1730864459.6851916.jpg
TUNG 345,,0933.40.41.47 - 0989.969.919,,Sửa chữa xe ga,Dịch vụ sửa chữa xe chuyên nghiệp,,,,,,"TUNG 345
SỬA XE CHUYÊN NGHIỆP
CHUYÊN XE GA
0933.40.41.47 - 0989.969.919",crop_images/GPAH9448.JPG.jpg_1730864459.6908405.jpg
Trung 345 Sửa Xe Chuyên Nghiệp,"143A Hùng Phú, Quận 4",,,Chuyên sửa xe ga,Sửa chữa xe chuyên nghiệp,Quận 4,143A,Hùng Phú,,,"TRUNG 345
SỬA XE CHUYÊN NGHIỆP
CHUYÊN XE GA
143A HÙNG PHÚ - Q.4",crop_images/GPAH9449.JPG.jpg_1730864524.8063407.jpg
Trường Mầm Non Vành Khuyên,"121 - 123 - 125 Hưng Phú, Phường 8, Quận 8, Thành phố Hồ Chí Minh",08.38597401,,Trường mầm non,Dịch vụ giáo dục trẻ em mầm non,Quận 8,121 - 123 - 125,Hưng Phú,Thành phố Hồ Chí Minh,Phường 8,"TRƯỜNG MẦM NON VÀNH KHUYÊN
Đ/c: 121 - 123 - 125 HƯNG PHÚ P.8 - Q.8 T.HCM
DT: 08.38597401",crop_images/GPAH9458.JPG.jpg_1730865410.9517772.jpg
Trường Mầm Non Vành Khuyên,"121 - 123 - 125 Hưng Phú, Phường 8, Quận 8, TP.Hồ Chí Minh",08.38597401,,Trường Mầm Non,Giáo dục mầm non,Quận 8,121 - 123 - 125,Hưng Phú,TP.Hồ Chí Minh,Phường 8,"TRƯỜNG MẦM NON VÀNH KHUYÊN
Đ/C: 121 - 123 - 125 HƯNG PHÚ P.8 - Q.8 T.HCM
DT: 08.38597401",crop_images/GPAH9458.JPG.jpg_1730865410.997195.jpg
Vanh Khuyên,,,,Phụ kiện và trang sức,"Vanh, Khuyên",,,,,,VANH KHUYÊN,crop_images/GPAH9461.JPG.jpg_1730865819.0215.jpg
B'smart,,,,Thời trang và phụ kiện,Đồ thời trang và phụ kiện,,,,,,"B'smart
BE YOUR CHOICE",crop_images/GPAH9462.JPG.jpg_1730866117.007641.jpg
B'smart,,,,Thời trang và phong cách cá nhân,"Quần áo, phụ kiện thời trang",,,,,,"B'smart
BE YOUR CHOICE",crop_images/GPAH9462.JPG.jpg_1730866117.037932.jpg
